"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","is.neg","period_num","j","site_num","Periodo","Sitio","n_plants"
"GBP23020403M_ITS_P96","Shannon diversity",9.54459898108082,9.54948985938505,0.0469345927716283,9.45749974792361,9.6414799708465,0.999487838787595,23,"p02","s04","03M","#414487FF","#420A68FF","sample","P96",69104,FALSE,2,"2 4",4,2,4,15
"GBP23020403M_ITS_P96","Simpson diversity",6.60874839877578,6.60936374426518,0.0250045647504158,6.56035569790527,6.6583717906251,0.999906897923429,23,"p02","s04","03M","#414487FF","#420A68FF","sample","P96",69104,FALSE,2,"2 4",4,2,4,15
"GBP23020404M_ITS_P48","Species richness",14,14,0.196946385566933,14,14.3860078225965,1,23,"p02","s04","04M","#414487FF","#420A68FF","sample","P48",1591,FALSE,2,"2 4",4,2,4,15
"GBP23020404M_ITS_P48","Shannon diversity",8.09099692834977,8.12503986134747,0.16869130918889,7.79441097083234,8.45566875186261,0.995810121109725,23,"p02","s04","04M","#414487FF","#420A68FF","sample","P48",1591,FALSE,2,"2 4",4,2,4,15
"GBP23020404M_ITS_P48","Simpson diversity",6.38655582703385,6.40862771383389,0.183068703298287,6.0498196486728,6.76743577899498,0.996555910596523,23,"p02","s04","04M","#414487FF","#420A68FF","sample","P48",1591,FALSE,2,"2 4",4,2,4,15
"GBP23020501M_ITS_P96","Species richness",5,5,0,5,5,1,23,"p02","s05","01M","#414487FF","#5D126EFF","sample","P96",2231,FALSE,2,"2 5",5,2,5,9
"GBP23020501M_ITS_P96","Shannon diversity",2.01043355104422,2.01227498595528,0.0401404252896599,1.93360119806342,2.09094877384713,0.999084898970616,23,"p02","s05","01M","#414487FF","#5D126EFF","sample","P96",2231,FALSE,2,"2 5",5,2,5,9
"GBP23020501M_ITS_P96","Simpson diversity",1.52746105168288,1.52782802334773,0.0273803150495979,1.47416359196515,1.5814924547303,0.999759808264259,23,"p02","s05","01M","#414487FF","#5D126EFF","sample","P96",2231,FALSE,2,"2 5",5,2,5,9
"GBP23020601M_ITS_P96","Simpson diversity",3.5406622106653,3.54100260005212,0.012292217245639,3.51691029696053,3.56509490314372,0.99990387203138,23,"p02","s06","01M","#414487FF","#781C6DFF","sample","P96",28074,FALSE,2,"2 6",6,2,6,4
"GBP23020601M_ITS_P96","Species richness",20,20,0.173785063346943,20,20.340612465211,1,23,"p02","s06","01M","#414487FF","#781C6DFF","sample","P96",28074,FALSE,2,"2 6",6,2,6,4
"GBP23020601M_ITS_P96","Shannon diversity",4.23041276940572,4.23194767305298,0.0236673296618512,4.18556055930551,4.27833478680044,0.999637305617688,23,"p02","s06","01M","#414487FF","#781C6DFF","sample","P96",28074,FALSE,2,"2 6",6,2,6,4
"GBP23020602M_ITS_P96","Shannon diversity",3.59611546662432,3.89202712348298,0.406482582344536,3.09533590174486,4.68871834522111,0.923969785546137,23,"p02","s06","02M","#414487FF","#781C6DFF","sample","P96",20,FALSE,2,"2 6",6,2,6,4
"GBP23020602M_ITS_P96","Simpson diversity",3.33333333333333,3.8,0.520421724176791,2.77999216384126,4.82000783615875,0.877192982456139,23,"p02","s06","02M","#414487FF","#781C6DFF","sample","P96",20,FALSE,2,"2 6",6,2,6,4
"GBP23020602M_ITS_P96","Species richness",4,4,0.445820942903441,4,4.87379299164443,1,23,"p02","s06","02M","#414487FF","#781C6DFF","sample","P96",20,FALSE,2,"2 6",6,2,6,4
"GBP23020701M_ITS_P96","Species richness",43,43,0.662062051898923,43,44.2976177772526,1,23,"p02","s07","01M","#414487FF","#932667FF","sample","P96",28009,FALSE,2,"2 7",7,2,7,8
"GBP23020701M_ITS_P96","Simpson diversity",4.9345035204099,4.93530904562413,0.0431497191226735,4.85073715020067,5.01988094104759,0.999836783227396,23,"p02","s07","01M","#414487FF","#932667FF","sample","P96",28009,FALSE,2,"2 7",7,2,7,8
"GBP23020701M_ITS_P96","Shannon diversity",8.07560425495031,8.08271419115987,0.0778871037931465,7.93005827286517,8.23537010945457,0.999120352886245,23,"p02","s07","01M","#414487FF","#932667FF","sample","P96",28009,FALSE,2,"2 7",7,2,7,8
"GBP23020801M_ITS_P96","Species richness",58,58,1.07414042345086,58,60.1052765443023,1,23,"p02","s08","01M","#414487FF","#AE305CFF","sample","P96",28028,FALSE,2,"2 8",8,2,8,5
"GBP23020801M_ITS_P96","Shannon diversity",3.5263573707293,3.53007046706274,0.0380594583801359,3.45547529936657,3.60466563475891,0.99894815234764,23,"p02","s08","01M","#414487FF","#AE305CFF","sample","P96",28028,FALSE,2,"2 8",8,2,8,5
"GBP23020801M_ITS_P96","Simpson diversity",1.85084230161026,1.85089963464161,0.0128078743451715,1.82579666220656,1.87600260707666,0.999969024235415,23,"p02","s08","01M","#414487FF","#AE305CFF","sample","P96",28028,FALSE,2,"2 8",8,2,8,5
"GBP23020802M_ITS_P96","Species richness",2,2,0,2,2,1,23,"p02","s08","02M","#414487FF","#AE305CFF","sample","P96",141,FALSE,2,"2 8",8,2,8,5
"GBP23020802M_ITS_P96","Shannon diversity",1.99150542779673,1.99860545857454,0.0164007848403696,1.96646051096923,2.03075040617986,0.996447507562162,23,"p02","s08","02M","#414487FF","#AE305CFF","sample","P96",141,FALSE,2,"2 8",8,2,8,5
"GBP23020802M_ITS_P96","Simpson diversity",1.9831421446384,1.9971671388102,0.0319347140733262,1.9345762493699,2.05975802825051,0.992977556109723,23,"p02","s08","02M","#414487FF","#AE305CFF","sample","P96",141,FALSE,2,"2 8",8,2,8,5
"GBP23020901M_ITS_P48","Shannon diversity",2.26041020466132,2.26301990750141,0.0227968928262234,2.21833881860259,2.30770099640022,0.9988468051777,23,"p02","s09","01M","#414487FF","#C73E4CFF","sample","P48",19893,FALSE,2,"2 9",9,2,9,14
"GBP23020901M_ITS_P48","Simpson diversity",1.5168031719871,1.51684260006612,0.00884713680017342,1.49950253057148,1.53418266956076,0.999974006479631,23,"p02","s09","01M","#414487FF","#C73E4CFF","sample","P48",19893,FALSE,2,"2 9",9,2,9,14
"GBP23020901M_ITS_P48","Species richness",46,46,1.68493352455135,46,49.3024090244648,1,23,"p02","s09","01M","#414487FF","#C73E4CFF","sample","P48",19893,FALSE,2,"2 9",9,2,9,14
"GBP23020902M_ITS_P96","Species richness",12,12,0.0999999999999998,12,12.195996398454,1,23,"p02","s09","02M","#414487FF","#C73E4CFF","sample","P96",3779,FALSE,2,"2 9",9,2,9,14
"GBP23020902M_ITS_P96","Shannon diversity",2.27073323000342,2.27408008979444,0.0498587728588565,2.17635869067772,2.37180148891116,0.998528257731099,23,"p02","s09","02M","#414487FF","#C73E4CFF","sample","P96",3779,FALSE,2,"2 9",9,2,9,14
"GBP23020902M_ITS_P96","Simpson diversity",1.56723979123576,1.56747513646318,0.0240775715633444,1.52028396336384,1.61466630956252,0.999849857122484,23,"p02","s09","02M","#414487FF","#C73E4CFF","sample","P96",3779,FALSE,2,"2 9",9,2,9,14
"GBP23020903M_ITS_P96","Species richness",41,41,0.609168340759258,41,42.1939480084102,1,23,"p02","s09","03M","#414487FF","#C73E4CFF","sample","P96",35559,FALSE,2,"2 9",9,2,9,14
"GBP23020903M_ITS_P96","Shannon diversity",6.80953819818014,6.81370991587825,0.0507110560068768,6.71431807248678,6.91310175926972,0.999387746506733,23,"p02","s09","03M","#414487FF","#C73E4CFF","sample","P96",35559,FALSE,2,"2 9",9,2,9,14
"GBP23020903M_ITS_P96","Simpson diversity",4.57768443738809,4.57817971368193,0.0308684647249438,4.51767863456299,4.63868079280086,0.999891818075129,23,"p02","s09","03M","#414487FF","#C73E4CFF","sample","P96",35559,FALSE,2,"2 9",9,2,9,14
"GBP23021101M_ITS_P96","Species richness",20,20,0,20,20,1,23,"p02","s11","01M","#414487FF","#ED6925FF","sample","P96",6972,FALSE,2,"2 11",11,2,11,8
"GBP23021101M_ITS_P96","Shannon diversity",7.57645547305691,7.58706910254309,0.0923545208286016,7.40605756790958,7.7680806371766,0.998601089650993,23,"p02","s11","01M","#414487FF","#ED6925FF","sample","P96",6972,FALSE,2,"2 11",11,2,11,8
"GBP23021101M_ITS_P96","Simpson diversity",5.02026458915502,5.02322612282632,0.0779693184366503,4.87040906679135,5.17604317886129,0.999410431941767,23,"p02","s11","01M","#414487FF","#ED6925FF","sample","P96",6972,FALSE,2,"2 11",11,2,11,8
"GBP23021102M_ITS_P48","Shannon diversity",1.31124128179073,1.31152660810389,0.0052402235044227,1.30125595876428,1.3217972574435,0.999782447179191,23,"p02","s11","02M","#414487FF","#ED6925FF","sample","P48",56418,FALSE,2,"2 11",11,2,11,8
"GBP23021102M_ITS_P48","Species richness",25,25,0.169220881632954,25,25.3316668334327,1,23,"p02","s11","02M","#414487FF","#ED6925FF","sample","P48",56418,FALSE,2,"2 11",11,2,11,8
"GBP23021102M_ITS_P48","Simpson diversity",1.09357831468439,1.0935801479948,0.00165958673880961,1.09032741775751,1.09683287823209,0.999998323570144,23,"p02","s11","02M","#414487FF","#ED6925FF","sample","P48",56418,FALSE,2,"2 11",11,2,11,8
"GBP23021103M_ITS_P96","Species richness",1,1,0,1,1,1,23,"p02","s11","03M","#414487FF","#ED6925FF","sample","P96",919,FALSE,2,"2 11",11,2,11,8
"GBP23021103M_ITS_P96","Shannon diversity",1,1,0,1,1,1,23,"p02","s11","03M","#414487FF","#ED6925FF","sample","P96",919,FALSE,2,"2 11",11,2,11,8
"GBP23021103M_ITS_P96","Simpson diversity",1,1,0,1,1,1,23,"p02","s11","03M","#414487FF","#ED6925FF","sample","P96",919,FALSE,2,"2 11",11,2,11,8
"GBP23021104M_ITS_P96","Species richness",6,6,0,6,6,1,23,"p02","s11","04M","#414487FF","#ED6925FF","sample","P96",1756,FALSE,2,"2 11",11,2,11,8
"GBP23021104M_ITS_P96","Shannon diversity",3.19774524622057,3.20235737754296,0.0734010216360139,3.05849401870793,3.34622073637799,0.998559769951122,23,"p02","s11","04M","#414487FF","#ED6925FF","sample","P96",1756,FALSE,2,"2 11",11,2,11,8
"GBP23021104M_ITS_P96","Simpson diversity",2.36153575575333,2.36338402218112,0.0630440424888079,2.23981996946324,2.48694807489899,0.999217957635981,23,"p02","s11","04M","#414487FF","#ED6925FF","sample","P96",1756,FALSE,2,"2 11",11,2,11,8
