"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","period_num","site_num","j","Periodo","Sitio","n_plants"
"GBP23020304M_16S_B96","Simpson diversity",3.11905575580723,3.11927375372952,0.0202658949846604,3.07955332944511,3.15899417801392,0.999930112603284,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","B96",47446,2,3,"2 3",2,3,9
"GBP23020305M_16S_B96","Species richness",53,81.1236117966436,20.308950676485,53,120.928423686355,0.653323968524202,23,"p02","s03","05M","#414487FF","#240C4FFF","sample","B96",23216,2,3,"2 3",2,3,9
"GBP23020305M_16S_B96","Shannon diversity",5.16896106201026,5.17946255898371,0.0324956230682716,5.11577230811471,5.24315280985271,0.997972473619828,23,"p02","s03","05M","#414487FF","#240C4FFF","sample","B96",23216,2,3,"2 3",2,3,9
"GBP23020305M_16S_B96","Simpson diversity",4.37112137516515,4.37184885594542,0.0190569085285282,4.33449800157283,4.40919971031801,0.999833598826435,23,"p02","s03","05M","#414487FF","#240C4FFF","sample","B96",23216,2,3,"2 3",2,3,9
"GBP23020401M_16S_B96","Species richness",36,46.1245689104611,14.2584921750335,36,74.0707000473729,0.780495099474743,23,"p02","s04","01M","#414487FF","#420A68FF","sample","B96",26726,2,4,"2 4",2,4,15
"GBP23020401M_16S_B96","Shannon diversity",4.581121219951,4.58588133565112,0.0310471574490438,4.52503002522865,4.64673264607359,0.998962006351294,23,"p02","s04","01M","#414487FF","#420A68FF","sample","B96",26726,2,4,"2 4",2,4,15
"GBP23020401M_16S_B96","Simpson diversity",3.5727839141943,3.57317533921499,0.0235188296530522,3.52707928013647,3.6192713982935,0.999890454572327,23,"p02","s04","01M","#414487FF","#420A68FF","sample","B96",26726,2,4,"2 4",2,4,15
"GBP23020402M_16S_B96","Species richness",51,64.9993357688476,14.5091487125498,51,93.4367446917808,0.784623402635492,23,"p02","s04","02M","#414487FF","#420A68FF","sample","B96",26220,2,4,"2 4",2,4,15
"GBP23020402M_16S_B96","Shannon diversity",4.24380589301085,4.25087651146536,0.0276415468096897,4.19670007524139,4.30505294768933,0.998336668111756,23,"p02","s04","02M","#414487FF","#420A68FF","sample","B96",26220,2,4,"2 4",2,4,15
"GBP23020402M_16S_B96","Simpson diversity",3.59997693207282,3.60042108711987,0.0197496268341525,3.56171252981682,3.63912964442291,0.999876638027524,23,"p02","s04","02M","#414487FF","#420A68FF","sample","B96",26220,2,4,"2 4",2,4,15
"GBP23020403M_16S_B96","Species richness",62,72.6662083387044,11.2368398535815,62,94.6900097517684,0.853216390636648,23,"p02","s04","03M","#414487FF","#420A68FF","sample","B96",27143,2,4,"2 4",2,4,15
"GBP23020403M_16S_B96","Shannon diversity",3.81941468435207,3.82595092867468,0.0281749332663217,3.77072907420587,3.88117278314349,0.998291602677489,23,"p02","s04","03M","#414487FF","#420A68FF","sample","B96",27143,2,4,"2 4",2,4,15
"GBP23020403M_16S_B96","Simpson diversity",3.06171714153887,3.06198840975782,0.0160069397876615,3.0306153842713,3.09336143524434,0.999911407823072,23,"p02","s04","03M","#414487FF","#420A68FF","sample","B96",27143,2,4,"2 4",2,4,15
"GBP23020404M_16S_B48","Species richness",32,44.2495322999389,11.6211197978658,32,67.0265085637812,0.723171485363794,23,"p02","s04","04M","#414487FF","#420A68FF","sample","B48",31147,2,4,"2 4",2,4,15
"GBP23020404M_16S_B48","Shannon diversity",2.71710516170455,2.71942388520648,0.0156603973894183,2.68873007033963,2.75011770007332,0.999147347526605,23,"p02","s04","04M","#414487FF","#420A68FF","sample","B48",31147,2,4,"2 4",2,4,15
"GBP23020404M_16S_B48","Simpson diversity",2.3103584735461,2.3104740685701,0.0106980731829771,2.2895062304275,2.33144190671271,0.999949969131629,23,"p02","s04","04M","#414487FF","#420A68FF","sample","B48",31147,2,4,"2 4",2,4,15
"GBP23020501M_16S_B96","Species richness",59,81.5613524819449,11.4793010599158,59.0623358368174,104.060369127072,0.723381824903661,23,"p02","s05","01M","#414487FF","#5D126EFF","sample","B96",28241,2,5,"2 5",2,5,9
"GBP23020501M_16S_B96","Shannon diversity",3.51046493696139,3.51830099914817,0.0283004844256191,3.46283306892892,3.57376892936742,0.997772770951469,23,"p02","s05","01M","#414487FF","#5D126EFF","sample","B96",28241,2,5,"2 5",2,5,9
"GBP23020501M_16S_B96","Simpson diversity",2.78948679446959,2.78974070852065,0.0185416067979867,2.75339982698109,2.82608159006021,0.999908982920783,23,"p02","s05","01M","#414487FF","#5D126EFF","sample","B96",28241,2,5,"2 5",2,5,9
"GBP23020601M_16S_B96","Species richness",55,82.5610102961842,12.1749697999366,58.6985079754456,106.423512616923,0.666174018494805,23,"p02","s06","01M","#414487FF","#781C6DFF","sample","B96",24137,2,6,"2 6",2,6,4
"GBP23020601M_16S_B96","Shannon diversity",3.37984799605507,3.38793347820567,0.0194593174772893,3.34979391678646,3.42607303962489,0.997613447193513,23,"p02","s06","01M","#414487FF","#781C6DFF","sample","B96",24137,2,6,"2 6",2,6,4
"GBP23020601M_16S_B96","Simpson diversity",2.85829118435724,2.85857830780296,0.0131753116697406,2.83275517144518,2.88440144416074,0.999899557257209,23,"p02","s06","01M","#414487FF","#781C6DFF","sample","B96",24137,2,6,"2 6",2,6,4
"GBP23020602M_16S_B96","Species richness",106,130.19912009599,13.4776042899056,106,156.614739102087,0.814137606474232,23,"p02","s06","02M","#414487FF","#781C6DFF","sample","B96",31903,2,6,"2 6",2,6,4
"GBP23020602M_16S_B96","Shannon diversity",4.03562093532163,4.04582813619371,0.0354677021192623,3.97631271742556,4.11534355496185,0.997477104679567,23,"p02","s06","02M","#414487FF","#781C6DFF","sample","B96",31903,2,6,"2 6",2,6,4
"GBP23020602M_16S_B96","Simpson diversity",2.39179251309364,2.39191356055877,0.0162877139281181,2.35999022786917,2.42383689324837,0.99994939304366,23,"p02","s06","02M","#414487FF","#781C6DFF","sample","B96",31903,2,6,"2 6",2,6,4
"GBP23020701M_16S_B96","Species richness",66,73.1997687564234,8.33406240708986,66,89.5342309192287,0.901642192608817,23,"p02","s07","01M","#414487FF","#932667FF","sample","B96",38431,2,7,"2 7",2,7,8
"GBP23020701M_16S_B96","Shannon diversity",4.34093725681024,4.34640907961974,0.0250260215436681,4.29735897871783,4.39545918052166,0.998741070453962,23,"p02","s07","01M","#414487FF","#932667FF","sample","B96",38431,2,7,"2 7",2,7,8
"GBP23020701M_16S_B96","Simpson diversity",3.28524221492709,3.28548336235849,0.0142673000566231,3.25751996809088,3.31344675662609,0.999926602145014,23,"p02","s07","01M","#414487FF","#932667FF","sample","B96",38431,2,7,"2 7",2,7,8
"GBP23020801M_16S_B96","Species richness",40,64.4990593926364,18.9770460147405,40,101.693386114487,0.620164082649656,23,"p02","s08","01M","#414487FF","#AE305CFF","sample","B96",32341,2,8,"2 8",2,8,5
"GBP23020801M_16S_B96","Shannon diversity",2.82255368938973,2.82612660971354,0.0136091605858582,2.79945314510543,2.85280007432164,0.998735753624227,23,"p02","s08","01M","#414487FF","#AE305CFF","sample","B96",32341,2,8,"2 8",2,8,5
"GBP23020801M_16S_B96","Simpson diversity",2.49317923242452,2.49332217095195,0.00943322821347379,2.47483338339559,2.5118109585083,0.999942671456946,23,"p02","s08","01M","#414487FF","#AE305CFF","sample","B96",32341,2,8,"2 8",2,8,5
"GBP23020802M_16S_B96","Species richness",56,113.597691290232,45.2411354456479,56,202.2686873834,0.492967765136397,23,"p02","s08","02M","#414487FF","#AE305CFF","sample","B96",28174,2,8,"2 8",2,8,5
"GBP23020802M_16S_B96","Shannon diversity",2.22322610824133,2.22808210389126,0.0127618071521038,2.20306942149549,2.25309478628703,0.997820549053627,23,"p02","s08","02M","#414487FF","#AE305CFF","sample","B96",28174,2,8,"2 8",2,8,5
"GBP23020802M_16S_B96","Simpson diversity",1.97588294243493,1.97596023543993,0.00600723394227951,1.96418627326635,1.9877341976135,0.99996088331961,23,"p02","s08","02M","#414487FF","#AE305CFF","sample","B96",28174,2,8,"2 8",2,8,5
"GBP23020901M_16S_B48","Species richness",36,40.5712678998213,8.41739302250549,36,57.0690550676508,0.887327457670077,23,"p02","s09","01M","#414487FF","#C73E4CFF","sample","B48",30703,2,9,"2 9",2,9,15
"GBP23020901M_16S_B48","Shannon diversity",2.12724337629179,2.12887120775726,0.015224298451337,2.09903213110275,2.15871028441177,0.999235354652014,23,"p02","s09","01M","#414487FF","#C73E4CFF","sample","B48",30703,2,9,"2 9",2,9,15
"GBP23020901M_16S_B48","Simpson diversity",1.53950282207149,1.53953201548709,0.00831393725129926,1.52323699790482,1.55582703306936,0.999981037474178,23,"p02","s09","01M","#414487FF","#C73E4CFF","sample","B48",30703,2,9,"2 9",2,9,15
"GBP23020902M_16S_B96","Species richness",44,49.0623028314379,9.27813799573516,44,67.2471191466715,0.896818890690265,23,"p02","s09","02M","#414487FF","#C73E4CFF","sample","B96",30108,2,9,"2 9",2,9,15
"GBP23020902M_16S_B96","Shannon diversity",3.28532261337799,3.28869740494562,0.01819617243079,3.25303356232479,3.32436124756645,0.998973821196637,23,"p02","s09","02M","#414487FF","#C73E4CFF","sample","B96",30108,2,9,"2 9",2,9,15
"GBP23020902M_16S_B96","Simpson diversity",2.65371984428004,2.65389078067143,0.0116206735153626,2.63111467910522,2.67666688223764,0.99993559026896,23,"p02","s09","02M","#414487FF","#C73E4CFF","sample","B96",30108,2,9,"2 9",2,9,15
"GBP23020903M_16S_B96","Species richness",62,88.9987726714851,14.0192493447972,62,116.475996477574,0.696638820277402,23,"p02","s09","03M","#414487FF","#C73E4CFF","sample","B96",26972,2,9,"2 9",2,9,15
"GBP23020903M_16S_B96","Shannon diversity",4.13959522588065,4.14835691584365,0.0305530694685933,4.08847400006806,4.20823983161925,0.997887913180869,23,"p02","s09","03M","#414487FF","#C73E4CFF","sample","B96",26972,2,9,"2 9",2,9,15
"GBP23020903M_16S_B96","Simpson diversity",3.05515073688192,3.05543618928377,0.0209759619932345,3.01432405923595,3.09654831933159,0.999906575564283,23,"p02","s09","03M","#414487FF","#C73E4CFF","sample","B96",26972,2,9,"2 9",2,9,15
"GBP23021101M_16S_B96","Species richness",81,103.320202254069,13.3683428649517,81,129.521672802358,0.783970590773884,23,"p02","s11","01M","#414487FF","#ED6925FF","sample","B96",23311,2,11,"2 11",2,11,8
"GBP23021101M_16S_B96","Shannon diversity",3.0373491765421,3.04684358503103,0.0271577923115025,2.99361529020086,3.10007187986119,0.996883854315471,23,"p02","s11","01M","#414487FF","#ED6925FF","sample","B96",23311,2,11,"2 11",2,11,8
"GBP23021101M_16S_B96","Simpson diversity",2.304874801994,2.30504005602876,0.0104820693444017,2.28449557763028,2.32558453442724,0.999928307521455,23,"p02","s11","01M","#414487FF","#ED6925FF","sample","B96",23311,2,11,"2 11",2,11,8
"GBP23021102M_16S_B48","Species richness",125,195.616003450141,28.8771006432962,139.017926211342,252.21408068894,0.639007022919065,23,"p02","s11","02M","#414487FF","#ED6925FF","sample","B48",47916,2,11,"2 11",2,11,8
"GBP23021102M_16S_B48","Shannon diversity",4.96023737913338,4.97227711844023,0.0276512204663101,4.91808172219768,5.02647251468277,0.997578626649307,23,"p02","s11","02M","#414487FF","#ED6925FF","sample","B48",47916,2,11,"2 11",2,11,8
"GBP23021102M_16S_B48","Simpson diversity",3.47892554227006,3.47912627998074,0.0163798552180338,3.44702235368141,3.51123020628006,0.999942302263695,23,"p02","s11","02M","#414487FF","#ED6925FF","sample","B48",47916,2,11,"2 11",2,11,8
"GBP23021103M_16S_B96","Species richness",43,53.0830195919807,8.04183998698542,43,68.8447363359061,0.810051883455704,23,"p02","s11","03M","#414487FF","#ED6925FF","sample","B96",38523,2,11,"2 11",2,11,8
"GBP23021103M_16S_B96","Shannon diversity",2.78781878082581,2.79029568630186,0.0127979306241941,2.76521220320179,2.81537916940192,0.999112314337076,23,"p02","s11","03M","#414487FF","#ED6925FF","sample","B96",38523,2,11,"2 11",2,11,8
