"Assemblage","Diversity","Observed","Estimator","s.e.","LCL","UCL","completeness","year","period","site","specimen","color_p","color_s","type","plate","quant_reading","is.neg","period_num","site_num","j","Periodo","Sitio","n_plants"
"GBP23020302M_ITS_F96","Species richness",104,104,0.440239097144158,104,104.862852774989,1,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","F96",43000,FALSE,2,3,"2 3",2,3,9
"GBP23020302M_ITS_F96","Shannon diversity",46.5835178376123,46.6420972795007,0.238173491320128,46.1752858144411,47.1089087445603,0.998744065011971,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","F96",43000,FALSE,2,3,"2 3",2,3,9
"GBP23020302M_ITS_F96","Simpson diversity",27.4233735397947,27.4409893292883,0.268726436230835,26.9142951925821,27.9676834659946,0.999358048309328,23,"p02","s03","02M","#414487FF","#240C4FFF","sample","F96",43000,FALSE,2,3,"2 3",2,3,9
"GBP23020303M_ITS_F96","Species richness",152,152,0.633367004831737,152,153.241376518466,1,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","F96",118450,FALSE,2,3,"2 3",2,3,9
"GBP23020303M_ITS_F96","Shannon diversity",5.86578870663884,5.87040923433209,0.0428516629852088,5.78642151820344,5.95439695046075,0.999212912165266,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","F96",118450,FALSE,2,3,"2 3",2,3,9
"GBP23020303M_ITS_F96","Simpson diversity",1.99342634359132,1.99344686761617,0.00766443963399063,1.97842484197187,2.00846889326048,0.999989704252878,23,"p02","s03","03M","#414487FF","#240C4FFF","sample","F96",118450,FALSE,2,3,"2 3",2,3,9
"GBP23020304M_ITS_F96","Species richness",29,29,2.17403642602643,29,33.26103309609,1,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","F96",2869,FALSE,2,3,"2 3",2,3,9
"GBP23020304M_ITS_F96","Shannon diversity",1.60629803048193,1.61444558046277,0.0366372724523153,1.54263784596445,1.68625331496109,0.994953344925686,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","F96",2869,FALSE,2,3,"2 3",2,3,9
"GBP23020304M_ITS_F96","Simpson diversity",1.15938556443197,1.15944999943636,0.0100898507025265,1.13967425545002,1.1792257434227,0.999944426232762,23,"p02","s03","04M","#414487FF","#240C4FFF","sample","F96",2869,FALSE,2,3,"2 3",2,3,9
"GBP23020305M_ITS_F96","Species richness",4,4,0.384065798094744,4,4.75275513195933,1,23,"p02","s03","05M","#414487FF","#240C4FFF","sample","F96",26,FALSE,2,3,"2 3",2,3,9
"GBP23020305M_ITS_F96","Shannon diversity",3.43271441536795,3.64616126327963,0.378152370475096,2.90499623647999,4.38732629007926,0.941459844340595,23,"p02","s03","05M","#414487FF","#240C4FFF","sample","F96",26,FALSE,2,3,"2 3",2,3,9
"GBP23020305M_ITS_F96","Simpson diversity",3.10091743119266,3.38541666666666,0.465321102722871,2.47340406408337,4.29742926924995,0.915963302752295,23,"p02","s03","05M","#414487FF","#240C4FFF","sample","F96",26,FALSE,2,3,"2 3",2,3,9
"GBP23020401M_ITS_F96","Species richness",69,69,3.08114625608411,69,75.0389356930253,1,23,"p02","s04","01M","#414487FF","#420A68FF","sample","F96",4505,FALSE,2,4,"2 4",2,4,15
"GBP23020401M_ITS_F96","Shannon diversity",12.2807005523273,12.3758392958401,0.30493869997919,11.7781704263885,12.9735081652918,0.992312542104132,23,"p02","s04","01M","#414487FF","#420A68FF","sample","F96",4505,FALSE,2,4,"2 4",2,4,15
"GBP23020401M_ITS_F96","Simpson diversity",6.07430153100943,6.08115268606828,0.12315413554085,5.83977501586105,6.32253035627551,0.998873378878556,23,"p02","s04","01M","#414487FF","#420A68FF","sample","F96",4505,FALSE,2,4,"2 4",2,4,15
"GBP23020402M_ITS_F96","Species richness",17,17,1.4880983412556,17,19.9166191543148,1,23,"p02","s04","02M","#414487FF","#420A68FF","sample","F96",1488,FALSE,2,4,"2 4",2,4,15
"GBP23020402M_ITS_F96","Shannon diversity",2.830148676354,2.84598048067405,0.0940424317528726,2.66166070141986,3.03030025992825,0.994437135311516,23,"p02","s04","02M","#414487FF","#420A68FF","sample","F96",1488,FALSE,2,4,"2 4",2,4,15
"GBP23020402M_ITS_F96","Simpson diversity",2.02917273057198,2.03057812104238,0.0525414310089656,1.92759880856861,2.13355743351615,0.999307886529536,23,"p02","s04","02M","#414487FF","#420A68FF","sample","F96",1488,FALSE,2,4,"2 4",2,4,15
"GBP23020403M_ITS_F96","Species richness",94,94,1.22363816378201,94,96.3982867311215,1,23,"p02","s04","03M","#414487FF","#420A68FF","sample","F96",2510,FALSE,2,4,"2 4",2,4,15
"GBP23020403M_ITS_F96","Shannon diversity",56.6938365221132,57.7716804659792,0.994522102881927,55.8224529625016,59.7209079694568,0.981343039787449,23,"p02","s04","03M","#414487FF","#420A68FF","sample","F96",2510,FALSE,2,4,"2 4",2,4,15
"GBP23020403M_ITS_F96","Simpson diversity",37.2928182044917,37.8410652713815,1.10011388224354,35.6848816832916,39.9972488594713,0.985511849020161,23,"p02","s04","03M","#414487FF","#420A68FF","sample","F96",2510,FALSE,2,4,"2 4",2,4,15
"GBP23020404M_ITS_F48","Species richness",74,74,2.7262658469495,74,79.3433828723026,1,23,"p02","s04","04M","#414487FF","#420A68FF","sample","F48",16374,FALSE,2,4,"2 4",2,4,15
"GBP23020404M_ITS_F48","Shannon diversity",3.69887872437867,3.70733277234607,0.0454924825041142,3.61816914507068,3.79649639962145,0.997719641454778,23,"p02","s04","04M","#414487FF","#420A68FF","sample","F48",16374,FALSE,2,4,"2 4",2,4,15
"GBP23020404M_ITS_F48","Simpson diversity",2.25914624004004,2.25931999037723,0.0168108213384782,2.22637138600327,2.29226859475118,0.999923096180297,23,"p02","s04","04M","#414487FF","#420A68FF","sample","F48",16374,FALSE,2,4,"2 4",2,4,15
"GBP23020501M_ITS_F96","Species richness",27,27,1.25995568496036,27,29.4694677646388,1,23,"p02","s05","01M","#414487FF","#5D126EFF","sample","F96",393,FALSE,2,5,"2 5",2,5,9
"GBP23020501M_ITS_F96","Shannon diversity",13.7644232697615,14.2400550520688,0.907483201186267,12.4614206611686,16.018689442969,0.966599020820622,23,"p02","s05","01M","#414487FF","#5D126EFF","sample","F96",393,FALSE,2,5,"2 5",2,5,9
"GBP23020501M_ITS_F96","Simpson diversity",7.1040430522975,7.21641371557056,0.753200664448152,5.74016754012054,8.69265989102057,0.98442846160128,23,"p02","s05","01M","#414487FF","#5D126EFF","sample","F96",393,FALSE,2,5,"2 5",2,5,9
"GBP23020601M_ITS_F96","Species richness",97,97,0.285109837479337,97,97.5588050130976,1,23,"p02","s06","01M","#414487FF","#781C6DFF","sample","F96",107011,FALSE,2,6,"2 6",2,6,4
"GBP23020601M_ITS_F96","Shannon diversity",11.328249741138,11.3333918717242,0.0738807739886762,11.1885882155565,11.478195527892,0.999546284938837,23,"p02","s06","01M","#414487FF","#781C6DFF","sample","F96",107011,FALSE,2,6,"2 6",2,6,4
"GBP23020601M_ITS_F96","Simpson diversity",3.69569607031149,3.69578994670782,0.0207570878620658,3.65510680207424,3.7364730913414,0.999974599098518,23,"p02","s06","01M","#414487FF","#781C6DFF","sample","F96",107011,FALSE,2,6,"2 6",2,6,4
