	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_101	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	g__Mucor	s__flavus
ASV_102	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_103	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	s__myxotrichoides
ASV_104	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_105	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_106	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_107	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__Botrytis	s__caroliniana
ASV_108	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_109	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_110	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_111	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_112	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_113	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_114	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_115	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_116	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_117	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Amphisphaeriales	f__Apiosporaceae	g__Apiospora	NA
ASV_118	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_119	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_120	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_121	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_122	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_123	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_124	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_125	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_126	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_127	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_128	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	NA
ASV_129	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_130	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Gamsia	s__simplex
ASV_131	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_132	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_133	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_134	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_135	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_136	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Pyrenophora	NA
ASV_137	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_138	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_139	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Cephalotrichum	s__stemonitis
ASV_140	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_141	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_142	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_143	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_144	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae
ASV_145	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	NA	NA	NA
ASV_146	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_147	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_148	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_149	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_150	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_151	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_152	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_153	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_154	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_155	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_156	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_157	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_158	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_159	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_160	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_161	k__Fungi	p__Mucoromycota	c__Mucoromycetes	o__Mucorales	f__Mucoraceae	g__Mucor	NA
ASV_162	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_163	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_164	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__hypsicladia
ASV_165	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_166	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_167	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_168	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_169	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_170	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_171	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_172	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_173	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_174	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__angulare
ASV_175	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_176	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	s__chernovii
ASV_177	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_178	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_179	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_180	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__mucilaginosa
ASV_181	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_182	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_183	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	NA	NA
ASV_184	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_185	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Discinellaceae	g__Gyoerffyella	NA
ASV_186	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Beauveria	s__pseudobassiana
ASV_187	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_188	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_189	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_190	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudogymnoascus	NA
ASV_191	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_192	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_193	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_194	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_195	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_196	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_197	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_198	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_199	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_200	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae
ASV_201	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_202	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_203	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_204	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Beauveria	s__pseudobassiana
ASV_205	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_206	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_207	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_208	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_209	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_210	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_211	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_212	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_213	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_214	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_215	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_216	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Myxotrichaceae	g__Oidiodendron	s__flavum
ASV_217	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_218	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_219	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_220	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	NA
ASV_221	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_222	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_223	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_224	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_225	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_226	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_227	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae
ASV_228	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_229	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_230	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cladosporium	s__herbarum
ASV_231	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_232	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_233	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Cephalotrichum	s__stemonitis
ASV_234	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Neoascochyta	NA
ASV_235	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_236	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__aquadulcis
ASV_237	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Geomyces	NA
ASV_238	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_239	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	g__Xylaria	s__carpophila
ASV_240	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_241	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_242	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_243	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Amphisphaeriales	f__Apiosporaceae	g__Nigrospora	NA
ASV_244	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_245	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_246	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_247	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__spathulatum
ASV_248	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Gamsia	s__simplex
ASV_249	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_250	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_251	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_252	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_253	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_254	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_255	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_256	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_257	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__victoriae
ASV_258	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_259	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_260	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_261	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Sarocladiaceae	g__Sarocladium	s__summerbellii
ASV_262	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_263	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_264	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_265	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_266	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	g__Cystofilobasidium	s__macerans
ASV_267	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__boppii
ASV_268	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__heimaeyensis
ASV_269	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_270	k__Fungi	p__Ascomycota	c__Taphrinomycetes	o__Taphrinales	f__Taphrinaceae	g__Taphrina	NA
ASV_271	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_272	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Pezizellaceae	g__Calycina	s__crassipes
ASV_273	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	NA	NA
ASV_274	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_275	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__aquadulcis
ASV_276	k__Fungi	p__Ascomycota	c__Dothideomycetes	NA	NA	NA	NA
ASV_277	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_278	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_279	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_280	k__Fungi	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	NA	NA	NA
ASV_281	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_282	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_283	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_284	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_285	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Plectosphaerella	NA
ASV_286	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_287	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Amphisphaeriales	f__Apiosporaceae	g__Apiospora	s__qinlingensis
ASV_288	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_289	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_290	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_291	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_292	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Amphisphaeriales	f__Sporocadaceae	g__Pestalotiopsis	s__spathulata
ASV_293	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_294	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_295	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_296	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_297	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Arthrodermataceae	g__Arthroderma	NA
ASV_298	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_299	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_300	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_301	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_302	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_303	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_304	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	g__Cystofilobasidium	s__macerans
ASV_305	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lentitheciaceae	g__Keissleriella	s__quadriseptata
ASV_306	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	NA	NA
ASV_307	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cladosporium	s__herbarum
ASV_308	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_309	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Sarocladiaceae	g__Sarocladium	s__summerbellii
ASV_310	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_311	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_312	k__Fungi	p__Basidiomycota	NA	NA	NA	NA	NA
ASV_313	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
ASV_314	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	NA	NA
ASV_315	k__Fungi	NA	NA	NA	NA	NA	NA
