sample_name	year	period	site	specimen	color_p	color_s	type	plate	quant_reading
GBP23060201M_16S_B48	23	p06	s02	01M	#FDE725FF	#0C0826FF	sample	B48	37804
GBP23060202M_16S_B48	23	p06	s02	02M	#FDE725FF	#0C0826FF	sample	B48	49502
GBP23060203M_16S_B96	23	p06	s02	03M	#FDE725FF	#0C0826FF	sample	B96	32927
GBP23060204M_16S_B48	23	p06	s02	04M	#FDE725FF	#0C0826FF	sample	B48	44578
GBP23060205M_16S_B48	23	p06	s02	05M	#FDE725FF	#0C0826FF	sample	B48	30039
GBP23060301M_16S_B48	23	p06	s03	01M	#FDE725FF	#240C4FFF	sample	B48	32335
GBP23060302M_16S_B48	23	p06	s03	02M	#FDE725FF	#240C4FFF	sample	B48	12732
GBP23060303M_16S_B96	23	p06	s03	03M	#FDE725FF	#240C4FFF	sample	B96	24593
GBP23060304M_16S_B96	23	p06	s03	04M	#FDE725FF	#240C4FFF	sample	B96	50737
GBP23060305M_16S_B48	23	p06	s03	05M	#FDE725FF	#240C4FFF	sample	B48	28217
GBP23060401M_16S_B96	23	p06	s04	01M	#FDE725FF	#420A68FF	sample	B96	9306
GBP23060402M_16S_B96	23	p06	s04	02M	#FDE725FF	#420A68FF	sample	B96	25202
GBP23060403M_16S_B48	23	p06	s04	03M	#FDE725FF	#420A68FF	sample	B48	13635
GBP23060404M_16S_B96	23	p06	s04	04M	#FDE725FF	#420A68FF	sample	B96	36771
GBP23060501M_16S_B48	23	p06	s05	01M	#FDE725FF	#5D126EFF	sample	B48	4559
GBP23060701M_16S_B96	23	p06	s07	01M	#FDE725FF	#932667FF	sample	B96	43524
GBP23060801M_16S_B96	23	p06	s08	01M	#FDE725FF	#AE305CFF	sample	B96	27219
GBP23060901M_16S_B48	23	p06	s09	01M	#FDE725FF	#C73E4CFF	sample	B48	33887
GBP23061001M_16S_B48	23	p06	s10	01M	#FDE725FF	#DD513AFF	sample	B48	67805
GBP23061002M_16S_B96	23	p06	s10	02M	#FDE725FF	#DD513AFF	sample	B96	33247
GBP23061003M_16S_B96	23	p06	s10	03M	#FDE725FF	#DD513AFF	sample	B96	25703
GBP23061004M_16S_B96	23	p06	s10	04M	#FDE725FF	#DD513AFF	sample	B96	35555
GBP23061005M_16S_B96	23	p06	s10	05M	#FDE725FF	#DD513AFF	sample	B96	10789
GBP23061201M_16S_B48	23	p06	s12	01M	#FDE725FF	#F8850FFF	sample	B48	22741
GBP23061202M_16S_B96	23	p06	s12	02M	#FDE725FF	#F8850FFF	sample	B96	34853
GBP23061301M_16S_B96	23	p06	s13	01M	#FDE725FF	#FCA50AFF	sample	B96	38791
GBP23061303M_16S_B48	23	p06	s13	03M	#FDE725FF	#FCA50AFF	sample	B48	55056
GBP23061304M_16S_B96	23	p06	s13	04M	#FDE725FF	#FCA50AFF	sample	B96	38576
GBP23061305M_16S_B96	23	p06	s13	05M	#FDE725FF	#FCA50AFF	sample	B96	36131
GBP23061401M_16S_B96	23	p06	s14	01M	#FDE725FF	#FAC62DFF	sample	B96	14355
GBP23061402M_16S_B96	23	p06	s14	02M	#FDE725FF	#FAC62DFF	sample	B96	21807
GBP23061404M_16S_B96	23	p06	s14	04M	#FDE725FF	#FAC62DFF	sample	B96	42417
GBP23061405M_16S_B48	23	p06	s14	05M	#FDE725FF	#FAC62DFF	sample	B48	32315
neg1_16S_B96	NA	pNA	sNA	NA1	red	red	negative	B96	5278
neg2_16S_B96	NA	pNA	sNA	NA2	red	red	negative	B96	1575
neg4_16S_B96	NA	pNA	sNA	NA3	red	red	negative	B96	3008
neg5_16S_B96	NA	pNA	sNA	NA4	red	red	negative	B96	6034
neg6_16S_B48	NA	pNA	sNA	NA5	red	red	negative	B48	1632
neg7_16S_B48	NA	pNA	sNA	NA6	red	red	negative	B48	3310
neg9_16S_B48	NA	pNA	sNA	NA7	red	red	negative	B48	991
negPCR_16S_B48	NA	pNA	sNA	NA8	red	red	negative	B48	165
negPCR_16S_B96	NA	pNA	sNA	NA9	red	red	negative	B96	434
